asset_a,asset_b,start_date,end_date,observations,correlation,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,half_life,spread_mean,spread_std,selected
XRP/USDT:USDT,ARB/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9040107595293828,-2.7099835820680425,0.19600854448993787,-2.7100080153926904,0.07232239882507112,0.4797063676449037,277.4415118669621,1.4430430824719962,0.07544291192423169,False
XRP/USDT:USDT,OP/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8675173884357888,-2.6192490927221086,0.22914719499911307,-2.6192506748883497,0.08908345725701966,0.4303599191810007,321.7920164626271,1.2014873988550212,0.0877777073624396,False
ADA/USDT:USDT,DOGE/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9656295472871039,-2.931247245263144,0.1274657372021381,-2.9314136007436526,0.041815078842492484,1.2705684045845613,222.07655270309664,1.6619996323232848,0.07519252647037566,False
ADA/USDT:USDT,AVAX/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9564740726350899,-1.8544194335552955,0.6029323297891049,-1.6691278533146021,0.4470847896544236,0.9924313882307781,404.55025060182396,-3.4242043295104856,0.08441940370120857,False
ADA/USDT:USDT,LINK/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8721717178717917,-0.9860292042160237,0.9054650191032517,-0.9830640205638411,0.7593910851306209,1.0528547459852682,1152.506855959372,-3.428590691948995,0.1415199060494571,False
ADA/USDT:USDT,DOT/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9465079436309735,-2.168729359911345,0.44054279614523045,-2.168564254094753,0.2178519551350523,1.0160693255729951,438.95735441229374,-1.6486970434211008,0.09334777101433955,False
ADA/USDT:USDT,LTC/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8907418341886161,-2.2801625322268197,0.38349215134948256,-2.2801810554240918,0.17843966319093374,1.732838522040897,249.75138424518593,-8.393072106300433,0.13148441687534415,False
ADA/USDT:USDT,BCH/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.13602632890985145,0.5432212312729617,0.9929161644194441,0.5483931862123727,0.9862720695554211,0.42010076538575564,,-3.091919889439333,0.286599657840293,False
ADA/USDT:USDT,ATOM/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9232005079280173,-1.6651206056066141,0.692638445482619,-1.6649753926068944,0.44924250270662963,0.9232215637188569,672.7308633208147,-1.620597288340742,0.1111789764826336,False
ADA/USDT:USDT,NEAR/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9111335332449368,-2.569376243747798,0.2493578266283839,-2.569041959915176,0.09956594482269993,1.3358708882821684,277.2254943880132,-1.5663143678539044,0.11921905864064872,False
